year,support,municipality,canton,party
1995,0.323,5885,VD,9
1999,0.336,5885,VD,9
2003,0.256,5885,VD,9
2007,0.204,5885,VD,11
2011,0.217,5885,VD,2
2015,0.268,5885,VD,9
1975,0.655,3405,SG,8
1979,0.649,3405,SG,8
1983,0.591,3405,SG,8
1987,0.576,3405,SG,8
1991,0.472,3405,SG,8
1995,0.431,3405,SG,8
1999,0.389,3405,SG,8
2003,0.369,3405,SG,11
2007,0.402,3405,SG,11
2011,0.359,3405,SG,11
2015,0.394,3405,SG,11
1975,0.38,5804,VD,11
1979,0.33,5804,VD,11
1983,0.376,5804,VD,9
1987,0.337,5804,VD,9
1991,0.324,5804,VD,9
1995,0.3,5804,VD,9
1999,0.297,5804,VD,9
2003,0.297,5804,VD,11
2007,0.319,5804,VD,11
2011,0.338,5804,VD,11
2015,0.323,5804,VD,9
1975,0.338,5806,VD,9
1979,0.375,5806,VD,9
1983,0.32,5806,VD,9
1987,0.334,5806,VD,9
1991,0.278,5806,VD,9
1995,0.199,5806,VD,9
1999,0.263,5806,VD,9
2003,0.226,5806,VD,11
2007,0.253,5806,VD,11
2011,0.27,5806,VD,2
2015,0.271,5806,VD,9
1975,0.216,5585,VD,9
1979,0.319,5585,VD,9
1983,0.318,5585,VD,9
1987,0.292,5585,VD,9
1991,0.257,5585,VD,9
1995,0.227,5585,VD,9
1999,0.21,5585,VD,9
2003,0.215,5585,VD,3
2007,0.233,5585,VD,3
2011,0.22,5585,VD,9
2015,0.314,5585,VD,9
1975,0.503,5754,VD,9
1979,0.542,5754,VD,9
1983,0.536,5754,VD,9
1987,0.529,5754,VD,9
1991,0.407,5754,VD,9
1995,0.448,5754,VD,9
1999,0.409,5754,VD,9
2003,0.294,5754,VD,9
2007,0.3,5754,VD,9
2011,0.312,5754,VD,11
2015,0.271,5754,VD,9
1975,0.438,6626,GE,9
1979,0.349,6626,GE,9
1983,0.344,6626,GE,9
1987,0.353,6626,GE,9
1991,0.384,6626,GE,9
1995,0.298,6626,GE,9
1999,0.336,6626,GE,9
2003,0.273,6626,GE,9
2007,0.251,6626,GE,11
2011,0.302,6626,GE,9
2015,0.33,6626,GE,9
1975,0.272,4252,AG,2
1979,0.404,4252,AG,2
1983,0.427,4252,AG,2
1987,0.294,4252,AG,2
1991,0.268,4252,AG,2
1995,0.303,4252,AG,2
1999,0.284,4252,AG,2
2003,0.305,4252,AG,2
2007,0.32,4252,AG,11
2011,0.275,4252,AG,11
2015,0.377,4252,AG,11
1975,0.273,4308,AG,8
1979,0.353,4308,AG,2
1983,0.273,4308,AG,8
1987,0.222,4308,AG,8
1991,0.252,4308,AG,11
1995,0.267,4308,AG,2
1999,0.254,4308,AG,2
2003,0.285,4308,AG,2
2007,0.276,4308,AG,11
2011,0.246,4308,AG,2
2015,0.322,4308,AG,11
1975,0.503,4169,AG,8
1979,0.533,4169,AG,8
1983,0.527,4169,AG,8
1987,0.399,4169,AG,8
1991,0.344,4169,AG,8
1995,0.374,4169,AG,8
1999,0.343,4169,AG,8
2003,0.334,4169,AG,8
2007,0.294,4169,AG,11
2011,0.347,4169,AG,11
2015,0.384,4169,AG,11
1975,0.512,4233,AG,8
1979,0.547,4233,AG,8
1983,0.46,4233,AG,11
1987,0.411,4233,AG,11
1991,0.305,4233,AG,11
1995,0.312,4233,AG,8
1999,0.45,4233,AG,11
2003,0.457,4233,AG,11
2007,0.471,4233,AG,11
2011,0.445,4233,AG,11
2015,0.487,4233,AG,11
1975,0.572,304,BE,11
1979,0.612,304,BE,11
1983,0.499,304,BE,11
1987,0.54,304,BE,11
1991,0.469,304,BE,11
1995,0.491,304,BE,11
1999,0.463,304,BE,11
2003,0.423,304,BE,11
2007,0.48,304,BE,11
2011,0.416,304,BE,11
2015,0.474,304,BE,11
1975,0.707,3313,SG,8
1979,0.728,3313,SG,8
1983,0.68,3313,SG,8
1987,0.61,3313,SG,8
1991,0.566,3313,SG,8
1995,0.491,3313,SG,8
1999,0.453,3313,SG,8
2003,0.392,3313,SG,11
2007,0.414,3313,SG,11
2011,0.35,3313,SG,11
2015,0.408,3313,SG,11
1975,0.634,2549,SO,9
1979,0.488,2549,SO,9
1983,0.429,2549,SO,9
1987,0.467,2549,SO,8
1991,0.5,2549,SO,9
1995,0.457,2549,SO,8
1999,0.435,2549,SO,8
2003,0.385,2549,SO,9
2007,0.412,2549,SO,8
2011,0.56,2549,SO,9
2015,0.526,2549,SO,9
1975,0.528,564,BE,11
1979,0.607,564,BE,11
1983,0.674,564,BE,11
1987,0.65,564,BE,11
1991,0.614,564,BE,11
1995,0.714,564,BE,11
1999,0.681,564,BE,11
2003,0.648,564,BE,11
2007,0.708,564,BE,11
2011,0.659,564,BE,11
2015,0.683,564,BE,11
1975,0.325,565,BE,9
1979,0.468,565,BE,11
1983,0.504,565,BE,11
1987,0.547,565,BE,11
1991,0.444,565,BE,11
1995,0.438,565,BE,11
1999,0.462,565,BE,11
2003,0.445,565,BE,11
2007,0.457,565,BE,11
2011,0.349,565,BE,11
2015,0.485,565,BE,11
1975,0.432,2850,BL,2
1979,0.288,2850,BL,2
1983,0.342,2850,BL,2
1987,0.29,2850,BL,11
1991,0.231,2850,BL,11
1995,0.187,2850,BL,2
1999,0.323,2850,BL,11
2003,0.43,2850,BL,11
2007,0.358,2850,BL,11
2011,0.358,2850,BL,11
2015,0.384,2850,BL,11
1975,0.375,2580,SO,8
1979,0.412,2580,SO,8
1983,0.343,2580,SO,8
1987,0.37,2580,SO,8
1991,0.305,2580,SO,8
1995,0.277,2580,SO,8
1999,0.275,2580,SO,8
2003,0.268,2580,SO,8
2007,0.32,2580,SO,11
2011,0.271,2580,SO,11
2015,0.326,2580,SO,11
1975,0.677,6,ZH,11
1979,0.619,6,ZH,11
1983,0.498,6,ZH,11
1987,0.455,6,ZH,11
1991,0.425,6,ZH,11
1995,0.516,6,ZH,11
1999,0.548,6,ZH,11
2003,0.529,6,ZH,11
2007,0.547,6,ZH,11
2011,0.466,6,ZH,11
2015,0.486,6,ZH,11
1975,0.649,305,BE,11
1979,0.576,305,BE,11
1983,0.579,305,BE,11
1987,0.539,305,BE,11
1991,0.508,305,BE,11
1995,0.512,305,BE,11
1999,0.501,305,BE,11
2003,0.51,305,BE,11
2007,0.528,305,BE,11
2011,0.408,305,BE,11
2015,0.481,305,BE,11
1975,0.371,869,BE,11
1979,0.419,869,BE,11
1983,0.303,869,BE,11
1987,0.335,869,BE,11
1991,0.278,869,BE,11
1995,0.307,869,BE,2
1999,0.35,869,BE,2
2003,0.315,869,BE,2
2007,0.33,869,BE,11
2011,0.283,869,BE,11
2015,0.286,869,BE,11
1975,0.27,870,BE,9
1979,0.271,870,BE,9
1983,0.278,870,BE,11
1987,0.217,870,BE,9
1991,0.21,870,BE,9
1995,0.233,870,BE,2
1999,0.257,870,BE,2
2003,0.287,870,BE,2
2007,0.291,870,BE,11
2011,0.25,870,BE,11
2015,0.271,870,BE,11
1975,0.699,4666,TG,11
1979,0.673,4666,TG,11
1983,0.579,4666,TG,11
1987,0.498,4666,TG,11
1991,0.498,4666,TG,11
1995,0.48,4666,TG,11
1999,0.526,4666,TG,11
2003,0.597,4666,TG,11
2007,0.595,4666,TG,11
2011,0.495,4666,TG,11
2015,0.484,4666,TG,11
1975,0.655,411,BE,11
1979,0.676,411,BE,11
1983,0.713,411,BE,11
1987,0.578,411,BE,11
1991,0.511,411,BE,11
1995,0.417,411,BE,11
1999,0.473,411,BE,11
2003,0.369,411,BE,11
2007,0.475,411,BE,11
2011,0.331,411,BE,11
2015,0.528,411,BE,11
1975,0.99,1404,OW,8
1979,0.971,1404,OW,8
1983,0.971,1404,OW,8
1987,0.533,1404,OW,8
1991,0.963,1404,OW,8
1995,0.957,1404,OW,8
2003,0.655,1404,OW,8
2007,0.381,1404,OW,11
2011,0.575,1404,OW,7
2015,0.673,1404,OW,7
1975,0.373,2265,FR,9
1979,0.369,2265,FR,9
1983,0.315,2265,FR,2
1987,0.335,2265,FR,9
1991,0.269,2265,FR,2
1995,0.32,2265,FR,9
1999,0.348,2265,FR,11
2003,0.351,2265,FR,11
2007,0.293,2265,FR,11
2011,0.26,2265,FR,11
2015,0.323,2265,FR,11
1975,0.409,4426,TG,11
1979,0.441,4426,TG,11
1983,0.37,4426,TG,11
1987,0.306,4426,TG,11
1991,0.303,4426,TG,11
1995,0.291,4426,TG,11
1999,0.302,4426,TG,8
2003,0.428,4426,TG,11
2007,0.401,4426,TG,11
2011,0.355,4426,TG,11
2015,0.386,4426,TG,11
1975,0.572,2403,SO,8
1979,0.556,2403,SO,8
1983,0.489,2403,SO,8
1987,0.469,2403,SO,8
1991,0.449,2403,SO,8
1995,0.423,2403,SO,8
1999,0.397,2403,SO,8
2003,0.388,2403,SO,8
2007,0.341,2403,SO,8
2011,0.337,2403,SO,8
2015,0.298,2403,SO,8
1975,0.473,2492,SO,8
1979,0.491,2492,SO,9
1983,0.454,2492,SO,8
1987,0.491,2492,SO,8
1991,0.363,2492,SO,8
1995,0.401,2492,SO,8
1999,0.295,2492,SO,8
2003,0.314,2492,SO,11
2007,0.333,2492,SO,11
2011,0.309,2492,SO,11
2015,0.341,2492,SO,11
1975,0.497,611,BE,11
1979,0.587,611,BE,11
1983,0.485,611,BE,11
1987,0.456,611,BE,11
1991,0.374,611,BE,11
1995,0.309,611,BE,11
1999,0.314,611,BE,11
2003,0.304,611,BE,11
2007,0.362,611,BE,11
2011,0.279,611,BE,11
2015,0.331,611,BE,11
1975,0.754,2851,BL,11
1979,0.634,2851,BL,11
1983,0.59,2851,BL,11
1987,0.648,2851,BL,11
1991,0.429,2851,BL,11
1995,0.548,2851,BL,11
1999,0.368,2851,BL,11
2003,0.406,2851,BL,11
2007,0.296,2851,BL,11
2011,0.299,2851,BL,11
2015,0.306,2851,BL,11
1975,0.393,135,ZH,9
1979,0.469,135,ZH,9
1983,0.464,135,ZH,9
1987,0.432,135,ZH,9
1991,0.37,135,ZH,9
1995,0.34,135,ZH,9
1999,0.323,135,ZH,9
2003,0.319,135,ZH,11
2007,0.308,135,ZH,11
2011,0.261,135,ZH,9
2015,0.329,135,ZH,9
1975,0.345,4030,AG,8
1979,0.342,4030,AG,8
1983,0.32,4030,AG,8
1987,0.257,4030,AG,8
1991,0.208,4030,AG,9
1995,0.193,4030,AG,11
1999,0.328,4030,AG,11
2003,0.386,4030,AG,11
2007,0.374,4030,AG,11
2011,0.362,4030,AG,11
2015,0.365,4030,AG,11
1975,0.991,6197,VS,8
1979,0.656,6197,VS,8
1983,0.91,6197,VS,8
1987,0.873,6197,VS,8
1991,0.857,6197,VS,8
1995,0.783,6197,VS,8
1999,0.861,6197,VS,8
2003,0.77,6197,VS,8
2007,0.722,6197,VS,8
2011,0.872,6197,VS,8
2015,0.831,6197,VS,8
1975,0.401,412,BE,2
1979,0.404,412,BE,2
1983,0.334,412,BE,2
1987,0.319,412,BE,11
1991,0.288,412,BE,11
1995,0.294,412,BE,11
1999,0.297,412,BE,11
2003,0.314,412,BE,11
2007,0.34,412,BE,11
2011,0.284,412,BE,11
2015,0.329,412,BE,11
1975,0.76,3392,SG,8
1979,0.738,3392,SG,8
1983,0.666,3392,SG,8
1987,0.629,3392,SG,8
1991,0.525,3392,SG,8
1995,0.453,3392,SG,8
1999,0.346,3392,SG,8
2003,0.369,3392,SG,11
2007,0.379,3392,SG,11
2011,0.35,3392,SG,11
2015,0.418,3392,SG,11
1975,0.637,872,BE,11
1979,0.626,872,BE,11
1983,0.536,872,BE,11
1987,0.466,872,BE,11
1991,0.411,872,BE,11
1995,0.381,872,BE,11
1999,0.387,872,BE,11
2003,0.4,872,BE,11
2007,0.431,872,BE,11
2011,0.383,872,BE,11
2015,0.447,872,BE,11
1975,0.43,873,BE,11
1979,0.49,873,BE,11
1983,0.381,873,BE,11
1987,0.443,873,BE,11
1991,0.386,873,BE,11
1995,0.384,873,BE,11
1999,0.359,873,BE,11
2003,0.414,873,BE,11
2007,0.512,873,BE,11
2011,0.356,873,BE,11
2015,0.505,873,BE,11
1975,0.459,4275,AG,11
1979,0.403,4275,AG,11
1983,0.424,4275,AG,11
1987,0.476,4275,AG,11
1991,0.401,4275,AG,11
1995,0.368,4275,AG,11
1999,0.515,4275,AG,11
2003,0.518,4275,AG,11
2007,0.491,4275,AG,11
2011,0.489,4275,AG,11
2015,0.541,4275,AG,11
1975,0.402,354,BE,11
1979,0.415,354,BE,11
1983,0.324,354,BE,11
1987,0.284,354,BE,11
1991,0.285,354,BE,11
1995,0.3,354,BE,11
1999,0.284,354,BE,2
2003,0.292,354,BE,11
2007,0.312,354,BE,11
2011,0.255,354,BE,11
2015,0.298,354,BE,11
1975,0.489,33,ZH,11
1979,0.491,33,ZH,11
1983,0.372,33,ZH,11
1987,0.458,33,ZH,11
1991,0.41,33,ZH,11
1995,0.43,33,ZH,11
1999,0.442,33,ZH,11
2003,0.444,33,ZH,11
2007,0.449,33,ZH,11
2011,0.372,33,ZH,11
2015,0.426,33,ZH,11
1983,0.365,2266,FR,8
1987,0.502,2266,FR,8
1991,0.501,2266,FR,8
1995,0.316,2266,FR,8
1999,0.292,2266,FR,8
2003,0.242,2266,FR,11
2007,0.259,2266,FR,11
2011,0.296,2266,FR,11
2015,0.383,2266,FR,11
1975,0.41,2619,SO,9
1979,0.372,2619,SO,9
1983,0.376,2619,SO,9
1987,0.397,2619,SO,8
1991,0.349,2619,SO,9
1995,0.296,2619,SO,9
1999,0.291,2619,SO,8
2003,0.288,2619,SO,8
2007,0.253,2619,SO,11
2011,0.228,2619,SO,11
2015,0.332,2619,SO,11
1975,0.323,4309,AG,8
1979,0.344,4309,AG,8
1983,0.295,4309,AG,8
1987,0.299,4309,AG,8
1991,0.235,4309,AG,8
1995,0.222,4309,AG,8
1999,0.291,4309,AG,11
2003,0.323,4309,AG,11
2007,0.35,4309,AG,11
2011,0.376,4309,AG,11
2015,0.377,4309,AG,11
1975,0.518,3871,GR,11
1979,0.418,3871,GR,9
1983,0.347,3871,GR,9
1987,0.313,3871,GR,11
1991,0.337,3871,GR,11
1995,0.47,3871,GR,11
1999,0.451,3871,GR,11
2003,0.574,3871,GR,11
2007,0.477,3871,GR,11
2011,0.41,3871,GR,11
2015,0.43,3871,GR,11
1975,0.239,62,ZH,2
1979,0.271,62,ZH,2
1983,0.253,62,ZH,2
1987,0.188,62,ZH,2
1991,0.242,62,ZH,11
1995,0.295,62,ZH,11
1999,0.394,62,ZH,11
2003,0.41,62,ZH,11
2007,0.461,62,ZH,11
2011,0.404,62,ZH,11
2015,0.435,62,ZH,11
1975,0.332,7,ZH,11
1979,0.392,7,ZH,11
1983,0.397,7,ZH,11
1987,0.346,7,ZH,11
1991,0.412,7,ZH,11
1995,0.362,7,ZH,11
1999,0.396,7,ZH,11
2003,0.351,7,ZH,11
2007,0.362,7,ZH,11
2011,0.321,7,ZH,11
2015,0.329,7,ZH,11
1975,0.638,1089,LU,8
1979,0.612,1089,LU,8
1983,0.582,1089,LU,8
1987,0.517,1089,LU,8
1991,0.528,1089,LU,8
1995,0.451,1089,LU,8
1999,0.442,1089,LU,8
2003,0.347,1089,LU,8
2007,0.365,1089,LU,8
2011,0.303,1089,LU,8
2015,0.288,1089,LU,11
1975,0.365,4310,AG,2
1979,0.408,4310,AG,2
1983,0.383,4310,AG,2
1987,0.31,4310,AG,2
1991,0.234,4310,AG,2
1995,0.249,4310,AG,11
1999,0.408,4310,AG,11
2003,0.389,4310,AG,11
2007,0.448,4310,AG,11
2011,0.459,4310,AG,11
2015,0.479,4310,AG,11
1975,0.34,4276,AG,2
1979,0.429,4276,AG,2
1983,0.385,4276,AG,2
1987,0.269,4276,AG,2
1991,0.239,4276,AG,11
1995,0.238,4276,AG,11
1999,0.375,4276,AG,11
2003,0.358,4276,AG,11
2007,0.388,4276,AG,11
2011,0.36,4276,AG,11
2015,0.399,4276,AG,11
1975,0.306,355,BE,2
1979,0.295,355,BE,2
1983,0.256,355,BE,2
1987,0.215,355,BE,2
1991,0.201,355,BE,2
1995,0.281,355,BE,2
1999,0.308,355,BE,2
2003,0.329,355,BE,2
2007,0.252,355,BE,11
2011,0.24,355,BE,2
2015,0.255,355,BE,2
1975,0.392,612,BE,11
1979,0.493,612,BE,11
1983,0.388,612,BE,11
1987,0.399,612,BE,11
1991,0.34,612,BE,11
1995,0.33,612,BE,11
1999,0.344,612,BE,11
2003,0.354,612,BE,11
2007,0.394,612,BE,11
2011,0.32,612,BE,11
2015,0.342,612,BE,11
1975,0.396,413,BE,2
1979,0.397,413,BE,11
1983,0.426,413,BE,11
1987,0.383,413,BE,11
1991,0.358,413,BE,11
1995,0.329,413,BE,11
1999,0.324,413,BE,11
2003,0.373,413,BE,11
2007,0.383,413,BE,11
2011,0.319,413,BE,11
2015,0.382,413,BE,11
1975,0.444,4501,TG,11
1979,0.495,4501,TG,11
1983,0.429,4501,TG,11
1987,0.32,4501,TG,11
1991,0.313,4501,TG,11
1995,0.333,4501,TG,11
1999,0.368,4501,TG,11
2003,0.392,4501,TG,11
2007,0.424,4501,TG,11
2011,0.422,4501,TG,11
2015,0.444,4501,TG,11
1975,0.391,566,BE,2
1979,0.388,566,BE,11
1983,0.386,566,BE,11
1987,0.41,566,BE,11
1991,0.304,566,BE,11
1995,0.338,566,BE,11
1999,0.351,566,BE,11
2003,0.365,566,BE,11
2007,0.452,566,BE,11
2011,0.333,566,BE,6
2015,0.338,566,BE,11
1975,0.561,414,BE,11
1979,0.55,414,BE,11
1983,0.477,414,BE,11
1987,0.495,414,BE,11
1991,0.438,414,BE,11
1995,0.43,414,BE,11
1999,0.462,414,BE,11
2003,0.459,414,BE,11
2007,0.475,414,BE,11
2011,0.37,414,BE,11
2015,0.463,414,BE,11
1975,0.303,4671,TG,2
1979,0.326,4671,TG,2
1983,0.311,4671,TG,2
1987,0.237,4671,TG,9
1991,0.236,4671,TG,2
1995,0.252,4671,TG,2
1999,0.253,4671,TG,11
2003,0.315,4671,TG,11
2007,0.359,4671,TG,11
2011,0.308,4671,TG,11
2015,0.28,4671,TG,11
1975,0.652,666,BE,11
1979,0.515,666,BE,11
1983,0.457,666,BE,11
1987,0.481,666,BE,11
1991,0.418,666,BE,11
1995,0.445,666,BE,11
1999,0.445,666,BE,11
2003,0.426,666,BE,11
2007,0.486,666,BE,11
2011,0.329,666,BE,11
2015,0.44,666,BE,11
1975,0.387,2525,SO,2
1979,0.386,2525,SO,2
1983,0.385,2525,SO,2
1987,0.402,2525,SO,9
1991,0.303,2525,SO,9
1995,0.287,2525,SO,9
1999,0.361,2525,SO,2
2003,0.301,2525,SO,2
2007,0.354,2525,SO,11
2011,0.313,2525,SO,11
2015,0.364,2525,SO,11
1975,0.331,1059,LU,9
1979,0.368,1059,LU,9
1983,0.329,1059,LU,9
1987,0.293,1059,LU,9
1991,0.29,1059,LU,9
1995,0.263,1059,LU,9
1999,0.261,1059,LU,11
2003,0.236,1059,LU,11
2007,0.281,1059,LU,11
2011,0.256,1059,LU,11
2015,0.277,1059,LU,11
1975,0.531,3882,GR,11
1979,0.407,3882,GR,9
1983,0.434,3882,GR,11
1987,0.348,3882,GR,11
1991,0.323,3882,GR,11
1995,0.426,3882,GR,11
1999,0.463,3882,GR,11
2003,0.594,3882,GR,11
2007,0.415,3882,GR,9
2011,0.439,3882,GR,11
2015,0.522,3882,GR,11
1975,0.478,4031,AG,8
1979,0.527,4031,AG,8
1983,0.553,4031,AG,8
1987,0.409,4031,AG,8
1991,0.291,4031,AG,8
1995,0.248,4031,AG,8
1999,0.325,4031,AG,11
2003,0.384,4031,AG,11
2007,0.448,4031,AG,11
2011,0.422,4031,AG,11
2015,0.449,4031,AG,11
1975,0.428,154,ZH,9
1979,0.497,154,ZH,9
1983,0.468,154,ZH,9
1987,0.404,154,ZH,9
1991,0.364,154,ZH,9
1995,0.348,154,ZH,9
1999,0.332,154,ZH,11
2003,0.358,154,ZH,11
2007,0.328,154,ZH,11
2011,0.32,154,ZH,11
2015,0.326,154,ZH,9
1975,0.603,1331,SZ,8
1979,0.575,1331,SZ,8
1983,0.531,1331,SZ,8
1987,0.389,1331,SZ,8
1991,0.44,1331,SZ,8
1995,0.343,1331,SZ,8
1999,0.418,1331,SZ,8
2003,0.352,1331,SZ,11
2007,0.363,1331,SZ,11
2011,0.307,1331,SZ,11
2015,0.329,1331,SZ,9
1975,0.304,4008,AG,2
1979,0.317,4008,AG,2
1983,0.303,4008,AG,9
1987,0.257,4008,AG,9
1991,0.207,4008,AG,2
1995,0.223,4008,AG,2
1999,0.299,4008,AG,11
2003,0.304,4008,AG,11
2007,0.301,4008,AG,11
2011,0.284,4008,AG,11
2015,0.276,4008,AG,11
1975,0.364,5871,VD,2
1979,0.325,5871,VD,9
1983,0.354,5871,VD,9
1987,0.342,5871,VD,9
1991,0.388,5871,VD,9
1995,0.308,5871,VD,9
1999,0.231,5871,VD,9
2003,0.199,5871,VD,9
2007,0.22,5871,VD,2
2011,0.224,5871,VD,2
2015,0.321,5871,VD,9
1975,0.372,5741,VD,9
1979,0.333,5741,VD,2
1983,0.307,5741,VD,9
1987,0.383,5741,VD,9
1991,0.322,5741,VD,9
1995,0.205,5741,VD,9
1999,0.222,5741,VD,2
2003,0.332,5741,VD,11
2007,0.445,5741,VD,11
2011,0.396,5741,VD,11
2015,0.448,5741,VD,11
1975,0.433,5486,VD,9
1979,0.431,5486,VD,9
1983,0.417,5486,VD,9
1987,0.348,5486,VD,9
1991,0.292,5486,VD,9
1995,0.347,5486,VD,9
1999,0.28,5486,VD,9
2003,0.264,5486,VD,11
2007,0.254,5486,VD,11
2011,0.27,5486,VD,11
2015,0.322,5486,VD,11
1975,0.378,6810,JU,9
1979,0.469,6810,JU,9
1983,0.369,6810,JU,9
1987,0.51,6810,JU,9
1991,0.511,6810,JU,9
1995,0.438,6810,JU,9
1999,0.388,6810,JU,8
2003,0.383,6810,JU,8
2007,0.308,6810,JU,2
2011,0.333,6810,JU,8
2015,0.351,6810,JU,8
1975,0.592,6432,NE,7
1979,0.669,6432,NE,9
1983,0.781,6432,NE,9
1987,0.634,6432,NE,9
1991,0.478,6432,NE,9
1995,0.558,6432,NE,9
1999,0.387,6432,NE,9
2003,0.387,6432,NE,11
2007,0.387,6432,NE,11
2011,0.428,6432,NE,11
2015,0.487,6432,NE,11
1975,0.582,2234,FR,8
1979,0.527,2234,FR,8
1983,0.352,2234,FR,8
1987,0.403,2234,FR,8
1991,0.371,2234,FR,8
1995,0.355,2234,FR,8
1999,0.376,2234,FR,8
2003,0.296,2234,FR,11
2007,0.283,2234,FR,2
2011,0.288,2234,FR,2
2015,0.264,2234,FR,2
1975,0.448,5474,VD,9
1979,0.434,5474,VD,11
1983,0.296,5474,VD,9
1987,0.269,5474,VD,9
1991,0.299,5474,VD,9
1995,0.314,5474,VD,9
1999,0.374,5474,VD,9
2003,0.296,5474,VD,9
2007,0.232,5474,VD,11
2011,0.239,5474,VD,11
2015,0.291,5474,VD,11
1975,0.452,6421,NE,2
1979,0.427,6421,NE,2
1983,0.39,6421,NE,2
1987,0.398,6421,NE,2
1991,0.371,6421,NE,2
1995,0.32,6421,NE,2
1999,0.302,6421,NE,2
2003,0.326,6421,NE,2
2007,0.282,6421,NE,2
2011,0.271,6421,NE,2
2015,0.238,6421,NE,1
1983,0.529,6744,JU,8
1987,0.515,6744,JU,8
1991,0.4,6744,JU,8
1995,0.469,6744,JU,8
1999,0.558,6744,JU,8
2003,0.438,6744,JU,8
2007,0.357,6744,JU,2
2011,0.444,6744,JU,8
2015,0.427,6744,JU,8
1975,0.474,6435,NE,7
1979,0.537,6435,NE,9
1983,0.605,6435,NE,9
1987,0.511,6435,NE,9
1991,0.421,6435,NE,9
1995,0.476,6435,NE,9
1999,0.432,6435,NE,9
2003,0.338,6435,NE,9
2007,0.233,6435,NE,2
2011,0.3,6435,NE,9
2015,0.275,6435,NE,11
1975,0.502,6504,NE,9
1979,0.488,6504,NE,9
1983,0.741,6504,NE,9
1987,0.472,6504,NE,9
1991,0.405,6504,NE,9
1995,0.332,6504,NE,9
1999,0.366,6504,NE,9
2003,0.464,6504,NE,11
2007,0.42,6504,NE,11
2011,0.442,6504,NE,11
2015,0.387,6504,NE,11
1975,0.633,435,BE,11
1979,0.458,435,BE,11
1983,0.536,435,BE,11
1987,0.564,435,BE,11
1991,0.502,435,BE,11
1995,0.47,435,BE,11
1999,0.386,435,BE,11
2003,0.328,435,BE,11
2007,0.316,435,BE,11
2011,0.419,435,BE,11
2015,0.377,435,BE,11
1975,0.712,2116,FR,8
1979,0.596,2116,FR,8
1983,0.555,2116,FR,8
1987,0.375,2116,FR,8
1991,0.434,2116,FR,8
1995,0.443,2116,FR,8
1999,0.429,2116,FR,8
2003,0.303,2116,FR,11
2007,0.254,2116,FR,11
2011,0.256,2116,FR,11
2015,0.265,2116,FR,11
1975,0.273,723,BE,7
1979,0.306,723,BE,7
1983,0.29,723,BE,7
1987,0.329,723,BE,9
1991,0.317,723,BE,9
1995,0.233,723,BE,11
1999,0.318,723,BE,2
2003,0.277,723,BE,2
2007,0.329,723,BE,2
2011,0.292,723,BE,2
2015,0.345,723,BE,2
1975,0.319,5758,VD,9
1979,0.299,5758,VD,9
1983,0.289,5758,VD,9
1987,0.382,5758,VD,11
1991,0.278,5758,VD,11
1995,0.248,5758,VD,9
1999,0.289,5758,VD,11
2003,0.356,5758,VD,11
2007,0.368,5758,VD,11
2011,0.366,5758,VD,11
2015,0.348,5758,VD,11
1975,0.463,3785,GR,11
1979,0.343,3785,GR,11
1983,0.388,3785,GR,2
1987,0.263,3785,GR,8
1991,0.252,3785,GR,11
1995,0.244,3785,GR,2
1999,0.362,3785,GR,2
2003,0.369,3785,GR,2
2007,0.405,3785,GR,11
2011,0.273,3785,GR,6
2015,0.368,3785,GR,11
1975,0.424,5726,VD,9
1979,0.34,5726,VD,9
1983,0.397,5726,VD,9
1987,0.323,5726,VD,9
1991,0.293,5726,VD,9
1995,0.335,5726,VD,9
1999,0.304,5726,VD,9
2003,0.236,5726,VD,9
2007,0.197,5726,VD,9
2011,0.205,5726,VD,11
2015,0.371,5726,VD,9
1975,0.45,2149,FR,9
1979,0.468,2149,FR,9
1983,0.405,2149,FR,8
1987,0.433,2149,FR,8
1991,0.436,2149,FR,8
1995,0.422,2149,FR,8
1999,0.37,2149,FR,8
2003,0.309,2149,FR,8
2007,0.328,2149,FR,8
2011,0.3,2149,FR,11
2015,0.328,2149,FR,11
1975,0.352,6423,NE,9
1979,0.427,6423,NE,9
1983,0.418,6423,NE,9
1987,0.445,6423,NE,9
1991,0.361,6423,NE,9
1995,0.4,6423,NE,9
1999,0.337,6423,NE,9
2003,0.293,6423,NE,11
2007,0.298,6423,NE,11
2011,0.304,6423,NE,9
2015,0.299,6423,NE,11
1975,0.331,5498,VD,9
1979,0.329,5498,VD,9
1983,0.343,5498,VD,9
1987,0.348,5498,VD,9
1991,0.343,5498,VD,9
1995,0.31,5498,VD,9
1999,0.312,5498,VD,9
2003,0.263,5498,VD,9
2007,0.223,5498,VD,11
2011,0.252,5498,VD,2
2015,0.273,5498,VD,9
1975,0.498,2235,FR,8
1979,0.47,2235,FR,8
1983,0.422,2235,FR,8
1987,0.441,2235,FR,8
1991,0.492,2235,FR,8
1995,0.515,2235,FR,8
1999,0.405,2235,FR,8
2003,0.326,2235,FR,8
2007,0.319,2235,FR,2
2011,0.334,2235,FR,2
2015,0.303,2235,FR,8
1975,0.364,6461,NE,2
1979,0.348,6461,NE,2
1983,0.363,6461,NE,2
1987,0.323,6461,NE,9
1991,0.298,6461,NE,2
1995,0.293,6461,NE,2
1999,0.294,6461,NE,2
2003,0.306,6461,NE,2
2007,0.31,6461,NE,2
2011,0.303,6461,NE,2
